Discharge Time (s),Voltage (V)
1166,3.964803
1167,3.965429
1168,3.964625
1169,3.964222
1170,3.966771
1171,3.964535
1172,3.966279
1173,3.965832
1174,3.965385
1175,3.965787
1176,3.966011
1177,3.964178
1178,3.964088
1179,3.964446
1180,3.964535
1181,3.964982
1182,3.964759
1183,3.964535
1184,3.964826
1185,3.965117
1186,3.96373
1187,3.964401
1188,3.963507
1189,3.962702
1190,3.962076
1191,3.962255
1192,3.964893
1193,3.964312
1194,3.963999
1195,3.9647815
1196,3.965564
1197,3.963194
1198,3.963596
1199,3.963149
1200,3.96154
1201,3.961048
1202,3.961271
1203,3.962747
1204,3.964625
1205,3.965608
1206,3.9646470000000003
1207,3.963686
1208,3.962389
1209,3.961003
1210,3.960243
1211,3.96154
1212,3.961584
1213,3.962657
1214,3.964222
1215,3.963283
1216,3.962613
1217,3.9628365
1218,3.96306
1219,3.960601
1220,3.960958
1221,3.959885
1222,3.962613
1223,3.961271
1224,3.961629
1225,3.961092
1226,3.962926
1227,3.963462
1228,3.9628585
1229,3.962255
1230,3.960958
1231,3.959349
1232,3.959796
1233,3.958946
1234,3.95917
1235,3.958812
1236,3.962031
1237,3.961495
1238,3.959662
1239,3.960355
1240,3.961048
1241,3.961584
1242,3.960556
1243,3.960645
1244,3.958946
1245,3.958767
1246,3.961003
1247,3.961987
1248,3.959617
1249,3.9599525
1250,3.960288
1251,3.960914
1252,3.957471
1253,3.95765
1254,3.95832
1255,3.957784
1256,3.957605
1257,3.960467
1258,3.959438
1259,3.959572
1260,3.959349
1261,3.9591475000000003
1262,3.958946
1263,3.96154
1264,3.95756
1265,3.956934
1266,3.9568
1267,3.957113
1268,3.958365
1269,3.959259
1270,3.958455
1271,3.959483
1272,3.9596169999999997
1273,3.959751
1274,3.957963
1275,3.956621
1276,3.9568
1277,3.956845
1278,3.95832
1279,3.956979
1280,3.958097
1281,3.959125
1282,3.957605
1283,3.9571354999999997
1284,3.956666
1285,3.956979
1286,3.956174
1287,3.956219
1288,3.955951
1289,3.955593
1290,3.959527
1291,3.95832
1292,3.955683
1293,3.957158
1294,3.956733
1295,3.956308
1296,3.956398
1297,3.95604
1298,3.955504
1299,3.955951
1300,3.954967
1301,3.956085
1302,3.957695
1303,3.956756
1304,3.956711
1305,3.9567555
1306,3.9568
1307,3.954788
1308,3.954296
1309,3.953939
1310,3.954162
1311,3.954252
1312,3.956577
1313,3.95452
1314,3.956398
1315,3.9557945
1316,3.955191
1317,3.953894
1318,3.954609
1319,3.955146
1320,3.955772
1321,3.954028
1322,3.953357
1323,3.955772
1324,3.954252
1325,3.956308
1326,3.9555035
1327,3.954699
1328,3.953581
1329,3.953984
1330,3.954252
1331,3.953313
1332,3.954431
1333,3.954341
1334,3.954207
1335,3.955012
1336,3.955683
1337,3.955079
1338,3.954475
1339,3.952821
1340,3.954296
1341,3.954162
1342,3.953134
1343,3.95215
1344,3.952642
1345,3.95376
1346,3.951748
1347,3.952508
1348,3.9534019999999996
1349,3.954296
1350,3.952285
1351,3.951748
1352,3.952508
1353,3.95063
1354,3.95139
1355,3.952553
1356,3.954386
1357,3.95215
1358,3.953626
1359,3.9538719999999996
1360,3.954118
1361,3.950004
1362,3.949736
1363,3.949691
1364,3.951122
1365,3.952419
1366,3.952687
1367,3.953223
1368,3.951435
1369,3.9515245
1370,3.951614
1371,3.953223
1372,3.950183
1373,3.951345
1374,3.950943
1375,3.950943
1376,3.951614
1377,3.952374
1378,3.951748
1379,3.950809
1380,3.950876
1381,3.950943
1382,3.950988
1383,3.948439
1384,3.949781
1385,3.949602
1386,3.94835
1387,3.949915
1388,3.950943
1389,3.950183
1390,3.950094
1391,3.950608
1392,3.951122
1393,3.952106
1394,3.949289
1395,3.949378
1396,3.947858
1397,3.949781
1398,3.950362
1399,3.95148
1400,3.950496
1401,3.950228
1402,3.9496465
1403,3.949065
1404,3.950094
1405,3.947277
1406,3.948484
1407,3.948216
1408,3.947679
1409,3.948484
1410,3.950183
1411,3.949781
1412,3.948752
1413,3.9485285
1414,3.948305
1415,3.949334
1416,3.947679
1417,3.94607
1418,3.947322
1419,3.94607
1420,3.949468
1421,3.949602
1422,3.948842
1423,3.947411
1424,3.9479249999999997
1425,3.948439
1426,3.947814
1427,3.946383
1428,3.947053
1429,3.946159
1430,3.946204
1431,3.948261
1432,3.948261
1433,3.947634
1434,3.947903
1435,3.9477685
1436,3.947634
1437,3.945488
1438,3.945712
1439,3.945935
1440,3.945354
1441,3.946427
1442,3.947769
1443,3.947143
1444,3.947366
1445,3.9466955
1446,3.946025
1447,3.9475
1448,3.943834
1449,3.945712
1450,3.945086
1451,3.945533
1452,3.943387
1453,3.9475
1454,3.946293
1455,3.945354
1456,3.9454884999999997
1457,3.945623
1458,3.945399
1459,3.944505
1460,3.943611
1461,3.943923
1462,3.945757
1463,3.94446
1464,3.946114
1465,3.946517
1466,3.946427
1467,3.9451975
1468,3.943968
1469,3.944415
1470,3.944281
1471,3.944237
1472,3.944237
1473,3.943387
1474,3.945533
1475,3.944281
1476,3.945488
1477,3.945488
1478,3.945488
1479,3.944594
1480,3.942582
1481,3.944013
1482,3.942985
1483,3.943163
1484,3.943879
1485,3.943655
1486,3.943789
1487,3.944371
1488,3.9439685
1489,3.943566
1490,3.942225
1491,3.941822
1492,3.941286
1493,3.941733
1494,3.942895
1495,3.942806
1496,3.942538
1497,3.944281
1498,3.942627
1499,3.9427835
1500,3.94294
1501,3.941912
1502,3.941777
1503,3.939363
1504,3.940928
1505,3.93981
1506,3.942135
1507,3.943208
1508,3.941956
1509,3.9417549999999997
1510,3.941554
1511,3.943521
1512,3.941062
1513,3.94142
1514,3.94133
1515,3.9399
1516,3.941688
1517,3.941956
1518,3.940123
1519,3.941777
1520,3.9415985
1521,3.94142
1522,3.940526
1523,3.939631
1524,3.93981
1525,3.940973
1526,3.939721
1527,3.93981
1528,3.941241
1529,3.941554
1530,3.940883
1531,3.9411959999999997
1532,3.941509
1533,3.940883
1534,3.93981
1535,3.939452
1536,3.938469
1537,3.939631
1538,3.940839
1539,3.939631
1540,3.941777
1541,3.9409055
1542,3.940034
1543,3.938916
1544,3.937351
1545,3.936859
1546,3.937664
1547,3.938469
1548,3.940481
1549,3.940436
1550,3.938156
1551,3.939452
1552,3.9401455
1553,3.940839
1554,3.939676
1555,3.936278
1556,3.93677
1557,3.937262
1558,3.935741
1559,3.939587
1560,3.939318
1561,3.938827
1562,3.937217
1563,3.938156
1564,3.939095
1565,3.938156
1566,3.936233
1567,3.936099
1568,3.935294
1569,3.935384
1570,3.938022
1571,3.938245
1572,3.939184
1573,3.937977
1574,3.93677
1575,3.937977
1576,3.936323
1577,3.936725
1578,3.93592
1579,3.935026
1580,3.9344
1581,3.938156
1582,3.935741
1583,3.936144
1584,3.9370380000000003
1585,3.937932
1586,3.936412
1587,3.93449
1588,3.935473
1589,3.935652
1590,3.935071
1591,3.935473
1592,3.937262
1593,3.935339
1594,3.936144
1595,3.936323
1596,3.936502
1597,3.934803
1598,3.934803
1599,3.934803
1600,3.934087
1601,3.934892
1602,3.934534
1603,3.937172
1604,3.935518
1605,3.9349145
1606,3.934311
1607,3.935429
1608,3.934937
1609,3.934847
1610,3.933595
1611,3.932343
1612,3.933953
1613,3.935026
1614,3.935026
1615,3.933417
1616,3.9336849999999997
1617,3.933953
1618,3.934177
1619,3.933461
1620,3.932343
1621,3.93212
1622,3.930913
1623,3.933193
1624,3.932701
1625,3.934132
1626,3.934355
1627,3.933573
1628,3.932791
1629,3.931449
1630,3.931002
1631,3.932746
1632,3.931136
1633,3.932075
1634,3.933014
1635,3.933104
1636,3.931807
1637,3.9312705
1638,3.930734
1639,3.93212
1640,3.931315
1641,3.9306
1642,3.930913
1643,3.931628
1644,3.930287
1645,3.931852
1646,3.93127
1647,3.93212
1648,3.931695
1649,3.93127
1650,3.931896
1651,3.930287
1652,3.932612
1653,3.92975
1654,3.930823
1655,3.930555
1656,3.930958
1657,3.93212
1658,3.930421
1659,3.9305775
1660,3.930734
1661,3.929527
1662,3.927828
1663,3.9306
1664,3.928588
1665,3.928409
1666,3.930108
1667,3.929884
1668,3.930913
1669,3.93051
1670,3.9308899999999998
1671,3.93127
1672,3.928901
1673,3.928677
1674,3.929527
1675,3.927783
1676,3.928677
1677,3.928543
1678,3.93127
1679,3.930108
1680,3.930331
1681,3.9297725
1682,3.929214
1683,3.928499
1684,3.929929
1685,3.927738
1686,3.927604
1687,3.927649
1688,3.929393
1689,3.928543
1690,3.929393
1691,3.9302425000000003
1692,3.931092
1693,3.927694
1694,3.927381
1695,3.925458
1696,3.927202
1697,3.925279
1698,3.927783
1699,3.927381
1700,3.928901
1701,3.928364
1702,3.9282525
1703,3.928141
1704,3.928722
1705,3.926934
1706,3.926665
1707,3.926844
1708,3.926442
1709,3.925548
1710,3.927783
1711,3.927157
1712,3.92747
1713,3.926956
1714,3.926442
1715,3.926084
1716,3.924832
1717,3.926352
1718,3.925682
1719,3.925682
1720,3.925458
1721,3.925279
1722,3.92595
1723,3.927023
1724,3.9271570000000002
1725,3.927291
1726,3.925637
1727,3.925592
1728,3.925235
1729,3.925056
1730,3.924922
1731,3.924251
1732,3.925324
1733,3.925816
1734,3.926039
1735,3.9255475
1736,3.925056
1737,3.924832
1738,3.92443
1739,3.924117
1740,3.922507
1741,3.922462
1742,3.924832
1743,3.924743
1744,3.92443
1745,3.925592
1746,3.924832
1747,3.924072
1748,3.925413
1749,3.923312
1750,3.923491
1751,3.92206
1752,3.921747
1753,3.924161
1754,3.924251
1755,3.923133
1756,3.9233345
1757,3.923536
1758,3.92367
1759,3.922194
1760,3.921881
1761,3.920942
1762,3.921345
1763,3.923804
1764,3.92434
1765,3.92206
1766,3.92206
1767,3.922552
1768,3.923044
1769,3.923267
1770,3.9213
1771,3.92206
1772,3.923044
1773,3.920003
1774,3.920585
1775,3.921926
1776,3.921747
1777,3.920674
1778,3.9203835
1779,3.920093
1780,3.920361
1781,3.919243
1782,3.918751
1783,3.921479
1784,3.91978
1785,3.918707
1786,3.91969
1787,3.921658
1788,3.920048
1789,3.919243
1790,3.920115
1791,3.920987
1792,3.920093
1793,3.91741
1794,3.918304
1795,3.918528
1796,3.920003
1797,3.921032
1798,3.921121
1799,3.921479
1800,3.9205845000000004
1801,3.91969
1802,3.918394
1803,3.918886
1804,3.917947
1805,3.917768
1806,3.918036
1807,3.919601
1808,3.919467
1809,3.91902
1810,3.918975
1811,3.91893
1812,3.91893
1813,3.916337
1814,3.917589
1815,3.917097
1816,3.916695
1817,3.916203
1818,3.917366
1819,3.917455
1822,3.918304
1823,3.918483
1824,3.915979
1825,3.91665
1826,3.915845
1827,3.91437
1828,3.918841
1829,3.917142
1830,3.915532
1831,3.91665
1832,3.9172985000000002
1833,3.917947
1834,3.916337
